id,genetics,species,finalCultivar,synonym,isConfirmed,use,country,genotypes,tree_tag_id,propertyOwner,treeSiteLocation,treeLatitude,treeLongitude,treeHeight,treeDripLine,trunkDiameter,fireBlight,fruitHanging
430,Malus,domestica,Delicious,"Cervena prevazhodna, Delicious rosso, Hawkeye, Piros Delicious, Stark Delicious",U,dessert,United States,2947,430,private,1003 Pegasus,39.98889,-105.1017,25,30,7.84375,NA,101-1000
431,Malus,domestica,Golden Delicious,NA,NA,NA,NA,3026,431,NA,2994 N 75th St,40.02888889,-105.1661111,18,20,6.53125,1,101-1000
432,Malus,domestica,McIntosh Summerland Red,NA,NA,cider,Canada,2968,432,private,2994 N 75th St,40.02888889,-105.1658333,20,30,11.3125,1,NA
433,Malus,domestica,Winesap,NA,NA,NA,NA,32541,433,private ,2994 N 75th St,40.02861111,-105.1658333,20,36,8.5,1,NA
434,NA,NA,NA,NA,C,NA,NA,NA,434,private,2994 N 75th St,40.02888889,-105.1661111,NA,NA,7.5,1,101-1000
435,Malus,domestica,Northern Spy,"King Apple, Spy, Northern Spice, Red Northern Spy, Red Spy",NA,"cider, dessert, cooking",United States,3216,435,private,207 E Simpson,39.99833333,-105.0886111,25,20,7.46875,1,1001-10000
436,NA,NA,NA,NA,NA,NA,NA,NA,436,NA,207 E Simpson,39.99833333,-105.0888889,NA,NA,NA,NA,NA
437,NA,NA,NA,NA,NA,NA,NA,NA,437,NA,207 E Simpson,39.99833333,-105.0888889,NA,NA,NA,NA,NA
438,NA,NA,NA,NA,NA,NA,NA,NA,438,private,677 Walnut,39.9787,-105.1347,40,45,1.25,0,11-100
439,NA,NA,NA,NA,NA,NA,NA,NA,439,NA,Silver Ditch,40.034117,-105.29257,NA,NA,NA,NA,NA
440,NA,NA,NA,NA,NA,NA,NA,NA,440,NA,Silver Ditch,40.0339023,-105.29274,NA,NA,NA,NA,NA
441,NA,NA,NA,NA,NA,NA,NA,NA,441,NA,Silver Ditch,40.03386,-105.29257,NA,NA,NA,NA,NA
